School,From,To,Yrs,NCAA_Tournament_2019,Win_Percentage_2019,AP_Rank_2019,NCAA_Tournament_2018,Win_Percentage_2018,AP_Ranked_2018,City,State,Overall_Games_Played,Wins,Losses,Overall_Win_Loss_Percentage,AP_Final_Poll_Appearances,NCAA_Tournament_Appearances,Final_Four_Appearances,NCAA_Championships
UTEP,1923,2022,94,0,0.276,0,0,0.355,,El Paso,Texas,2428,1384,1044,0.57,4,17,1,1
Utica,1982,1987,6,,,,,,,Utica,New York,158,64,94,0.405,0,0,0,0
UTSA,1982,2022,41,0,0.531,0,0,0.571,,San Antonio,Texas,1212,601,611,0.496,0,4,0,0
Valparaiso,1918,2022,87,0,0.455,0,0,0.469,,Valparaiso,Indiana,2228,1172,1056,0.526,0,9,0,0
Vanderbilt,1901,2022,120,0,0.281,0,0,0.375,,Nashville,Tennessee,2865,1645,1220,0.574,11,15,0,0
Vermont,1921,2022,67,1,0.794,0,0,0.771,,Burlington,Vermont,1826,988,838,0.541,0,8,0,0
Villanova,1921,2022,102,1,0.722,23,1,0.9,2,Villanova,Pennsylvania,2808,1851,957,0.659,26,41,7,3
Virginia,1906,2022,117,1,0.921,2,1,0.912,1,Charlottesville,Virginia,2891,1694,1196,0.586,15,24,3,1
Virginia Commonwealth,1974,2022,49,1,0.758,0,0,0.545,,Richmond,Virginia,1507,977,529,0.649,3,18,1,0
Virginia Military Institute,1909,2022,114,0,0.344,0,0,0.3,,Lexington,Virginia,2520,935,1585,0.371,1,3,0,0
Virginia Tech,1909,2022,114,1,0.743,16,1,0.636,,Blacksburg,Virginia,2774,1518,1256,0.547,3,13,0,0
Wabash,1897,1925,29,,,,,,,Crawfordsville,Indiana,407,301,106,0.74,0,,,
Wagner,1966,2022,50,0,0.433,0,0,0.697,,Staten Island,New York,1427,699,728,0.49,0,1,0,0
Wake Forest,1906,2022,116,0,0.355,0,0,0.355,,Winston-Salem,North Carolina,2861,1581,1280,0.553,17,23,1,0
Washburn,1906,1941,35,,,,,,,Topeka,Kansas,557,270,283,0.488,0,0,0,0
Washington & Jefferson,1913,1944,10,,,,,,,Washington,Pennsylvania,128,73,55,0.57,0,0,0,0
Washington & Lee,1907,1959,51,,,,,,,Lexington,Virginia,905,472,432,0.522,0,0,0,0
Washington (MO),1905,1960,52,,,,,,,St. Louis,Missouri,921,433,488,0.47,0,0,0,0
Washington College,1913,1925,13,,,,,,,Chestertown,Maryland,151,109,42,0.722,0,,,
Washington,1896,2022,121,1,0.75,0,0,0.618,,Seattle,Washington,3073,1834,1239,0.597,8,17,1,0
Washington State,1902,2022,121,0,0.344,0,0,0.387,,Pullman,Washington,3216,1645,1571,0.512,3,6,1,0
Wayne State (MI),1928,1950,5,,,,,,,Detroit,Michigan,104,47,57,0.452,0,0,0,0
Weber State,1964,2022,59,0,0.545,0,0,0.645,,Ogden,Utah,1736,1089,647,0.627,1,16,0,0
Wesleyan (CT),1896,1913,13,,,,,,,Middletown,Connecticut,171,97,74,0.567,0,,,
West Chester,1899,1982,10,,,,,,,West Chester,Pennsylvania,244,86,158,0.352,0,0,0,0
West Texas A&M,1921,1986,54,,,,,,,Canyon,Texas,1275,707,568,0.555,0,1,0,0
West Virginia,1904,2022,113,0,0.417,0,1,0.703,15,Morgantown,West Virginia,2964,1827,1137,0.616,19,30,2,0
Western Carolina,1977,2022,46,0,0.219,0,0,0.406,,Cullowhee,North Carolina,1354,591,763,0.436,0,1,0,0
Western Colorado,1924,1937,14,,,,,,,Gunnison,Colorado,189,88,101,0.466,0,,,
Western Illinois,1982,2022,41,0,0.323,0,0,0.429,,Macomb,Illinois,1170,482,688,0.412,0,0,0,0
Western Kentucky,1922,2022,101,0,0.588,0,0,0.711,,Bowling Green,Kentucky,2808,1852,956,0.66,11,23,1,0
Western Michigan,1914,2022,109,0,0.25,0,0,0.531,,Kalamazoo,Michigan,2632,1360,1271,0.517,1,4,0,0
Westminster (MO),1920,1920,1,,,,,,,Fulton,Missouri,17,17,0,1,0,,,
Westminster (PA),1898,1935,21,,,,,,,New Wilmington,Pennsylvania,294,210,84,0.714,0,,,
Wheaton (IL),1902,1905,4,,,,,,,Wheaton,Illinois,57,39,17,0.696,0,,,
Whittier,1909,1915,3,,,,,,,Whittier,California,42,38,3,0.927,0,,,
Wichita State,1906,2022,115,0,0.595,0,1,0.758,16,Wichita,Kansas,2870,1640,1230,0.571,8,16,2,0
Widener,1899,1909,5,,,,,,,Chester,Pennsylvania,26,20,6,0.769,0,,,
William & Mary,1906,2022,117,0,0.452,0,0,0.613,,Williamsburg,Virginia,2717,1266,1451,0.466,0,0,0,0
Williams,1901,1911,10,,,,,,,Williamstown,Massachusetts,161,136,24,0.85,0,,,
Winthrop,1987,2022,36,0,0.6,0,0,0.613,,Rock Hill,South Carolina,1085,605,480,0.558,1,11,0,0
Wisconsin,1899,2022,124,1,0.676,21,0,0.455,,Madison,Wisconsin,2923,1678,1245,0.574,18,26,4,1
Wisconsin-Stevens Point,1898,1918,21,,,,,,,Stevens Point,Wisconsin,156,98,58,0.628,0,,,
Wisconsin-Superior,1900,1901,2,,,,,,,Superior,Wisconsin,14,10,4,0.714,0,,,
Wittenberg,1931,1931,1,,,,,,,Springfield,Ohio,20,18,2,0.9,0,,,
Wofford,1996,2022,27,1,0.857,19,0,0.618,,Spartanburg,South Carolina,828,420,408,0.507,1,5,0,0
Wooster,1901,1931,31,,,,,,,Wooster,Ohio,390,225,165,0.577,0,,,
WPI,1920,1920,1,,,,,,,Worcester,Massachusetts,16,14,2,0.875,0,,,
Wright State,1988,2022,35,0,0.6,0,1,0.714,,Dayton,Ohio,1063,595,468,0.56,0,4,0,0
Wyoming,1905,2022,117,0,0.25,0,0,0.606,,Laramie,Wyoming,2813,1585,1228,0.563,4,16,1,1
Xavier,1920,2022,101,0,0.543,0,1,0.829,3,Cincinnati,Ohio,2626,1568,1058,0.597,12,28,0,0
Yale,1896,2022,127,1,0.733,0,0,0.516,,New Haven,Connecticut,3023,1522,1498,0.504,1,6,0,0
Youngstown State,1948,2022,42,0,0.375,0,0,0.25,,Youngstown,Ohio,1226,484,742,0.395,0,0,0,0
