School,From,To,Yrs,NCAA_Tournament_2019,Win_Percentage_2019,AP_Rank_2019,NCAA_Tournament_2018,Win_Percentage_2018,AP_Ranked_2018,City,State,Overall_Games_Played,Wins,Losses,Overall_Win_Loss_Percentage,AP_Final_Poll_Appearances,NCAA_Tournament_Appearances,Final_Four_Appearances,NCAA_Championships
Stetson,1972,2022,51,0,0.226,0,0,0.375,,DeLand,Florida,1463,660,803,0.451,0,0,0,0
Stevens Institute,1917,1920,4,,,,,,,Hoboken,New Jersey,48,37,11,0.771,0,,,
Stony Brook,2000,2022,23,0,0.727,0,0,0.406,,Stony Brook,New York,704,358,346,0.509,0,1,0,0
SUNY-Potsdam,1910,1913,2,,,,,,,Potsdam,New York,32,22,10,0.688,0,,,
Swarthmore,1906,1919,11,,,,,,,Swarthmore,Pennsylvania,133,92,41,0.692,0,,,
Syracuse,1901,2022,121,1,0.588,0,1,0.622,,Syracuse,New York,3006,2057,949,0.684,30,41,6,1
Tarleton State,2021,2022,2,,,,,,,Stephenville,Texas,51,24,27,0.471,0,0,0,0
TCU,1914,2022,109,0,0.622,0,1,0.636,,Fort Worth,Texas,2716,1272,1444,0.468,3,9,0,0
Temple,1895,2022,126,1,0.697,0,0,0.515,,Philadelphia,Pennsylvania,3081,1962,1119,0.637,9,33,2,0
Tennessee State,1978,2022,45,0,0.3,0,0,0.5,,Nashville,Tennessee,1292,547,745,0.423,0,2,0,0
Tennessee Tech,1944,2022,68,0,0.258,0,0,0.576,,Cookeville,Tennessee,1863,901,962,0.484,0,2,0,0
Tennessee,1909,2022,113,1,0.838,6,1,0.743,13,Knoxville,Tennessee,2802,1718,1082,0.614,14,24,0,0
Tennessee-Martin,1993,2022,30,0,0.387,0,0,0.323,,Martin,Tennessee,883,330,553,0.374,0,0,0,0
Texas A&M,1913,2022,110,0,0.438,0,1,0.629,,College Station,Texas,2787,1475,1312,0.529,4,14,0,0
