date,sp_index,,,,,,,,
2/16/18,4796.45,,,,,,,,
2/20/18,4698.95,,,,,,,,
2/21/18,4702.5,,,,,,,,
2/22/18,4695.15,,,,,,,,
2/23/18,4765.26,,,,,,,,
2/26/18,4783.06,,,,,,,,
2/27/18,4685.38,,,,,,,,
2/28/18,4696.19,,,,,,,,
3/1/18,4654.05,,,,,,,,
3/2/18,4699.65,,,,,,,,
3/5/18,4721.21,,,,,,,,
3/6/18,4786.47,,,,,,,,
3/7/18,4723.51,,,,,,,,
3/8/18,4643.79,,,,,,,,
3/9/18,4710.99,,,,,,,,
3/12/18,4697.52,,,,,,,,
3/13/18,4686.49,,,,,,,,
3/14/18,4657.16,,,,,,,,
3/15/18,4628.41,,,,,,,,
3/16/18,4649.77,,,,,,,,
3/19/18,4612.98,,,,,,,,
3/20/18,4577.84,,,,,,,,
3/21/18,4578.7,,,,,,,,
3/22/18,4504.11,,,,,,,,
3/23/18,4458.13,,,,,,,,
3/26/18,4598.17,,,,,,,,
3/27/18,4509.83,,,,,,,,
3/28/18,4552.46,,,,,,,,
3/29/18,4601.09,,,,,,,,
4/2/18,4479.75,,,,,,,,
4/3/18,4538.71,,,,,,,,
4/4/18,4661.33,,,,,,,,
4/5/18,4698,,,,,,,,
4/6/18,4619.72,,,,,,,,
4/9/18,4591.03,,,,,,,,
4/10/18,4686.94,,,,,,,,
4/11/18,4672.07,,,,,,,,
4/12/18,4679.5,,,,,,,,
4/13/18,4616.49,,,,,,,,
4/16/18,4648.79,,,,,,,,
4/17/18,4681.27,,,,,,,,
4/18/18,4684.18,,,,,,,,
4/19/18,4628.15,,,,,,,,
4/20/18,4563.13,,,,,,,,
4/23/18,4609.42,,,,,,,,
4/24/18,4602.04,,,,,,,,
4/25/18,4626.81,,,,,,,,
4/26/18,4693.11,,,,,,,,
4/27/18,4743.65,,,,,,,,
4/30/18,4688.2,,,,,,,,
5/1/18,4675.37,,,,,,,,
5/2/18,4694.48,,,,,,,,
5/3/18,4643.76,,,,,,,,
5/4/18,4669.56,,,,,,,,
5/7/18,4648.77,,,,,,,,
5/8/18,4647.79,,,,,,,,
5/9/18,4687.45,,,,,,,,
5/10/18,4686.74,,,,,,,,
5/11/18,4721.88,,,,,,,,
5/14/18,4777.99,,,,,,,,
5/15/18,4792.86,,,,,,,,
5/16/18,4870.33,,,,,,,,
5/17/18,4870.75,,,,,,,,
5/18/18,4827.79,,,,,,,,
5/21/18,4848.74,,,,,,,,
5/22/18,4761.49,,,,,,,,
5/23/18,4801.61,,,,,,,,
5/24/18,4841.85,,,,,,,,
5/25/18,4837.52,,,,,,,,
5/29/18,4830.32,,,,,,,,
5/30/18,4894.36,,,,,,,,
5/31/18,4803.86,,,,,,,,
6/1/18,4831.23,,,,,,,,
6/4/18,4941.21,,,,,,,,
6/5/18,5029.89,,,,,,,,
6/6/18,5059.84,,,,,,,,
6/7/18,5093.63,,,,,,,,
6/8/18,5138.09,,,,,,,,
6/11/18,5188.7,,,,,,,,
6/12/18,5208.25,,,,,,,,
6/13/18,5145.85,,,,,,,,
6/14/18,5099.74,,,,,,,,
6/15/18,5119.99,,,,,,,,
6/18/18,5181.23,,,,,,,,
